[2019-06-23 13:43:00,901][DEBUG]:  VGG11 | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-23 13:54:05,108][INFO]: VGG11 | epoch:31/100 | tol_epoch:31 | loss:0.0216 | acc: 99.9% | val_loss:1.9618 | val_acc:96.3889% | lr:0.004490 | time: 20s174ms
[2019-06-23 13:54:25,252][INFO]: VGG11 | epoch:32/100 | tol_epoch:32 | loss:0.0056 | acc:100.0% | val_loss:1.6716 | val_acc:97.3016% | lr:0.004231 | time: 20s143ms
[2019-06-23 13:54:45,407][INFO]: VGG11 | epoch:33/100 | tol_epoch:33 | loss:0.0050 | acc:100.0% | val_loss:1.8168 | val_acc:96.8651% | lr:0.003973 | time: 20s153ms
[2019-06-23 13:55:05,550][INFO]: VGG11 | epoch:34/100 | tol_epoch:34 | loss:0.0035 | acc:100.0% | val_loss:1.7223 | val_acc:97.0635% | lr:0.003719 | time: 20s142ms
[2019-06-23 13:55:25,713][INFO]: VGG11 | epoch:35/100 | tol_epoch:35 | loss:0.0030 | acc:100.0% | val_loss:1.7589 | val_acc:97.2619% | lr:0.003468 | time: 20s162ms
[2019-06-23 13:55:49,240][INFO]: VGG11 | epoch:36/100 | tol_epoch:36 | loss:0.0024 | acc:100.0% | val_loss:1.9327 | val_acc:97.1825% | lr:0.003221 | time: 19s997ms
[2019-06-23 13:56:09,192][INFO]: VGG11 | epoch:37/100 | tol_epoch:37 | loss:0.0139 | acc: 99.9% | val_loss:1.6707 | val_acc:97.2222% | lr:0.002979 | time: 19s950ms
[2019-06-23 13:56:29,166][INFO]: VGG11 | epoch:38/100 | tol_epoch:38 | loss:0.0038 | acc:100.0% | val_loss:1.6814 | val_acc:97.1825% | lr:0.002743 | time: 19s974ms
[2019-06-23 13:56:49,359][INFO]: VGG11 | epoch:39/100 | tol_epoch:39 | loss:0.0030 | acc:100.0% | val_loss:1.5712 | val_acc:97.6587% | lr:0.002513 | time: 20s192ms
[2019-06-23 13:57:09,480][INFO]: VGG11 | epoch:40/100 | tol_epoch:40 | loss:0.0036 | acc:100.0% | val_loss:1.5767 | val_acc:97.6190% | lr:0.002289 | time: 20s120ms
[2019-06-23 13:57:40,028][INFO]: VGG11 | epoch:41/100 | tol_epoch:41 | loss:0.0033 | acc:100.0% | val_loss:1.5963 | val_acc:97.7381% | lr:0.002074 | time: 20s101ms
[2019-06-23 13:58:00,122][INFO]: VGG11 | epoch:42/100 | tol_epoch:42 | loss:0.0009 | acc:100.0% | val_loss:1.6301 | val_acc:97.6587% | lr:0.001866 | time: 20s91ms
[2019-06-23 13:58:20,207][INFO]: VGG11 | epoch:43/100 | tol_epoch:43 | loss:0.0010 | acc:100.0% | val_loss:1.6495 | val_acc:97.6587% | lr:0.001667 | time: 20s84ms
[2019-06-23 13:58:40,324][INFO]: VGG11 | epoch:44/100 | tol_epoch:44 | loss:0.0014 | acc:100.0% | val_loss:1.6430 | val_acc:97.6984% | lr:0.001477 | time: 20s115ms
[2019-06-23 13:59:00,427][INFO]: VGG11 | epoch:45/100 | tol_epoch:45 | loss:0.0007 | acc:100.0% | val_loss:1.6483 | val_acc:97.6984% | lr:0.001296 | time: 20s101ms
[2019-06-23 13:59:23,439][INFO]: VGG11 | epoch:46/100 | tol_epoch:46 | loss:0.0005 | acc:100.0% | val_loss:1.6528 | val_acc:97.6984% | lr:0.001126 | time: 20s94ms
[2019-06-23 13:59:43,522][INFO]: VGG11 | epoch:47/100 | tol_epoch:47 | loss:0.0006 | acc:100.0% | val_loss:1.6568 | val_acc:97.6984% | lr:0.000967 | time: 20s81ms
[2019-06-23 14:00:03,628][INFO]: VGG11 | epoch:48/100 | tol_epoch:48 | loss:0.0008 | acc:100.0% | val_loss:1.6588 | val_acc:97.6984% | lr:0.000818 | time: 20s102ms
[2019-06-23 14:00:23,759][INFO]: VGG11 | epoch:49/100 | tol_epoch:49 | loss:0.0005 | acc:100.0% | val_loss:1.6618 | val_acc:97.6984% | lr:0.000681 | time: 20s128ms
[2019-06-23 14:00:43,861][INFO]: VGG11 | epoch:50/100 | tol_epoch:50 | loss:0.0006 | acc:100.0% | val_loss:1.6634 | val_acc:97.6587% | lr:0.000556 | time: 20s100ms
[2019-06-23 14:01:12,926][INFO]: VGG11 | epoch:51/100 | tol_epoch:51 | loss:0.0003 | acc:100.0% | val_loss:1.6641 | val_acc:97.6587% | lr:0.000443 | time: 20s213ms
[2019-06-23 14:01:33,041][INFO]: VGG11 | epoch:52/100 | tol_epoch:52 | loss:0.0007 | acc:100.0% | val_loss:1.6662 | val_acc:97.6984% | lr:0.000343 | time: 20s113ms
[2019-06-23 14:01:53,201][INFO]: VGG11 | epoch:53/100 | tol_epoch:53 | loss:0.0004 | acc:100.0% | val_loss:1.6672 | val_acc:97.6984% | lr:0.000255 | time: 20s159ms
[2019-06-23 14:02:13,306][INFO]: VGG11 | epoch:54/100 | tol_epoch:54 | loss:0.0006 | acc:100.0% | val_loss:1.6698 | val_acc:97.6984% | lr:0.000180 | time: 20s104ms
[2019-06-23 14:02:33,418][INFO]: VGG11 | epoch:55/100 | tol_epoch:55 | loss:0.0004 | acc:100.0% | val_loss:1.6707 | val_acc:97.6984% | lr:0.000119 | time: 20s109ms
[2019-06-23 14:02:56,422][INFO]: VGG11 | epoch:56/100 | tol_epoch:56 | loss:0.0013 | acc:100.0% | val_loss:1.6729 | val_acc:97.6984% | lr:0.000070 | time: 20s130ms
