[2019-06-22 14:09:22,975][INFO]: LeNet | epoch:34/100 | tol_epoch:34 | loss:0.1337 | acc: 99.4% | val_loss:7.0392 | val_acc:87.6984% | time:16s110ms
[2019-06-22 14:09:38,998][INFO]: LeNet | epoch:35/100 | tol_epoch:35 | loss:0.1341 | acc: 99.3% | val_loss:6.8830 | val_acc:88.2540% | time:16s22ms
[2019-06-22 14:09:55,363][INFO]: LeNet | epoch:36/100 | tol_epoch:36 | loss:0.1063 | acc: 99.6% | val_loss:7.4686 | val_acc:87.8571% | time:16s146ms
[2019-06-22 14:10:11,596][INFO]: LeNet | epoch:37/100 | tol_epoch:37 | loss:0.2994 | acc: 99.2% | val_loss:8.5000 | val_acc:87.8571% | time:16s232ms
[2019-06-22 14:10:27,634][INFO]: LeNet | epoch:38/100 | tol_epoch:38 | loss:0.1075 | acc: 99.8% | val_loss:7.1586 | val_acc:89.1270% | time:16s37ms
[2019-06-22 14:10:43,719][INFO]: LeNet | epoch:39/100 | tol_epoch:39 | loss:0.0455 | acc: 99.7% | val_loss:7.4430 | val_acc:88.8095% | time:16s83ms
[2019-06-22 14:11:00,093][INFO]: LeNet | epoch:40/100 | tol_epoch:40 | loss:0.0449 | acc: 99.8% | val_loss:7.4119 | val_acc:88.5317% | time:16s372ms
[2019-06-22 14:11:16,707][INFO]: LeNet | epoch:41/100 | tol_epoch:41 | loss:0.0535 | acc: 99.9% | val_loss:6.8632 | val_acc:88.4524% | time:16s396ms
[2019-06-22 14:11:33,018][INFO]: LeNet | epoch:42/100 | tol_epoch:42 | loss:0.0215 | acc: 99.9% | val_loss:6.6810 | val_acc:89.2063% | time:16s309ms
[2019-06-22 14:11:49,434][INFO]: LeNet | epoch:43/100 | tol_epoch:43 | loss:0.0106 | acc:100.0% | val_loss:6.7208 | val_acc:89.5238% | time:16s416ms
[2019-06-22 14:12:05,813][INFO]: LeNet | epoch:44/100 | tol_epoch:44 | loss:0.0060 | acc:100.0% | val_loss:6.7531 | val_acc:89.4048% | time:16s376ms
[2019-06-22 14:12:22,208][INFO]: LeNet | epoch:45/100 | tol_epoch:45 | loss:0.0081 | acc:100.0% | val_loss:7.0183 | val_acc:89.0476% | time:16s394ms
[2019-06-22 14:12:39,094][INFO]: LeNet | epoch:46/100 | tol_epoch:46 | loss:0.0031 | acc:100.0% | val_loss:7.0447 | val_acc:89.2857% | time:16s676ms
[2019-06-22 14:12:55,682][INFO]: LeNet | epoch:47/100 | tol_epoch:47 | loss:0.0049 | acc:100.0% | val_loss:7.0109 | val_acc:89.5238% | time:16s586ms
[2019-06-22 14:13:12,085][INFO]: LeNet | epoch:48/100 | tol_epoch:48 | loss:0.0045 | acc:100.0% | val_loss:7.1349 | val_acc:89.4048% | time:16s401ms
[2019-06-22 14:13:28,615][INFO]: LeNet | epoch:49/100 | tol_epoch:49 | loss:0.0028 | acc:100.0% | val_loss:7.2220 | val_acc:89.3651% | time:16s527ms
[2019-06-22 14:13:45,164][INFO]: LeNet | epoch:50/100 | tol_epoch:50 | loss:0.0018 | acc:100.0% | val_loss:7.1919 | val_acc:89.4841% | time:16s548ms
[2019-06-22 14:14:01,794][INFO]: LeNet | epoch:51/100 | tol_epoch:51 | loss:0.0027 | acc:100.0% | val_loss:7.1944 | val_acc:89.5238% | time:16s412ms
[2019-06-22 14:14:18,165][INFO]: LeNet | epoch:52/100 | tol_epoch:52 | loss:0.0021 | acc:100.0% | val_loss:7.2039 | val_acc:89.4841% | time:16s369ms
[2019-06-22 14:14:34,656][INFO]: LeNet | epoch:53/100 | tol_epoch:53 | loss:0.0018 | acc:100.0% | val_loss:7.2333 | val_acc:89.4444% | time:16s490ms
[2019-06-22 14:14:51,055][INFO]: LeNet | epoch:54/100 | tol_epoch:54 | loss:0.0015 | acc:100.0% | val_loss:7.2355 | val_acc:89.4048% | time:16s398ms
[2019-06-22 14:15:07,282][INFO]: LeNet | epoch:55/100 | tol_epoch:55 | loss:0.0017 | acc:100.0% | val_loss:7.2397 | val_acc:89.4444% | time:16s226ms
[2019-06-22 14:15:23,731][INFO]: LeNet | epoch:56/100 | tol_epoch:56 | loss:0.0019 | acc:100.0% | val_loss:7.2628 | val_acc:89.4841% | time:16s234ms
[2019-06-22 14:15:40,038][INFO]: LeNet | epoch:57/100 | tol_epoch:57 | loss:0.0017 | acc:100.0% | val_loss:7.2774 | val_acc:89.4444% | time:16s306ms
[2019-06-22 14:15:56,329][INFO]: LeNet | epoch:58/100 | tol_epoch:58 | loss:0.0015 | acc:100.0% | val_loss:7.2906 | val_acc:89.4444% | time:16s289ms
[2019-06-22 14:16:12,597][INFO]: LeNet | epoch:59/100 | tol_epoch:59 | loss:0.0013 | acc:100.0% | val_loss:7.3051 | val_acc:89.4048% | time:16s267ms
[2019-06-22 14:16:28,837][INFO]: LeNet | epoch:60/100 | tol_epoch:60 | loss:0.0014 | acc:100.0% | val_loss:7.3265 | val_acc:89.3254% | time:16s237ms
[2019-06-22 14:16:45,307][INFO]: LeNet | epoch:61/100 | tol_epoch:61 | loss:0.0013 | acc:100.0% | val_loss:7.3351 | val_acc:89.3651% | time:16s260ms
