[2019-06-22 16:23:36,362][INFO]: LeNet | epoch:34/100 | tol_epoch:34 | loss:0.0116 | acc:100.0% | val_loss:5.5293 | val_acc:88.0159% | time:18s30ms
[2019-06-22 16:23:54,356][INFO]: LeNet | epoch:35/100 | tol_epoch:35 | loss:0.0085 | acc:100.0% | val_loss:5.5740 | val_acc:87.8175% | time:17s991ms
[2019-06-22 16:24:13,994][INFO]: LeNet | epoch:36/100 | tol_epoch:36 | loss:0.0053 | acc:100.0% | val_loss:5.6054 | val_acc:88.0159% | time:18s137ms
[2019-06-22 16:24:32,264][INFO]: LeNet | epoch:37/100 | tol_epoch:37 | loss:0.0051 | acc:100.0% | val_loss:5.6323 | val_acc:87.8175% | time:18s268ms
[2019-06-22 16:24:50,291][INFO]: LeNet | epoch:38/100 | tol_epoch:38 | loss:0.0044 | acc:100.0% | val_loss:5.6734 | val_acc:88.0952% | time:18s23ms
[2019-06-22 16:25:08,945][INFO]: LeNet | epoch:39/100 | tol_epoch:39 | loss:0.0048 | acc:100.0% | val_loss:5.6976 | val_acc:87.9762% | time:18s652ms
[2019-06-22 16:25:27,100][INFO]: LeNet | epoch:40/100 | tol_epoch:40 | loss:0.0040 | acc:100.0% | val_loss:5.7018 | val_acc:87.8571% | time:18s153ms
[2019-06-22 16:25:46,222][INFO]: LeNet | epoch:41/100 | tol_epoch:41 | loss:0.0030 | acc:100.0% | val_loss:5.7489 | val_acc:88.0159% | time:18s44ms
[2019-06-22 16:26:04,634][INFO]: LeNet | epoch:42/100 | tol_epoch:42 | loss:0.0028 | acc:100.0% | val_loss:5.7652 | val_acc:88.0159% | time:18s410ms
[2019-06-22 16:26:22,864][INFO]: LeNet | epoch:43/100 | tol_epoch:43 | loss:0.0022 | acc:100.0% | val_loss:5.7980 | val_acc:87.9365% | time:18s229ms
[2019-06-22 16:26:40,866][INFO]: LeNet | epoch:44/100 | tol_epoch:44 | loss:0.0020 | acc:100.0% | val_loss:5.8030 | val_acc:87.8968% | time:18s
[2019-06-22 16:26:58,932][INFO]: LeNet | epoch:45/100 | tol_epoch:45 | loss:0.0016 | acc:100.0% | val_loss:5.8220 | val_acc:87.9365% | time:18s63ms
[2019-06-22 16:27:18,331][INFO]: LeNet | epoch:46/100 | tol_epoch:46 | loss:0.0014 | acc:100.0% | val_loss:5.8528 | val_acc:87.8968% | time:18s274ms
[2019-06-22 16:27:36,496][INFO]: LeNet | epoch:47/100 | tol_epoch:47 | loss:0.0016 | acc:100.0% | val_loss:5.8731 | val_acc:87.8571% | time:18s164ms
[2019-06-22 16:27:54,367][INFO]: LeNet | epoch:48/100 | tol_epoch:48 | loss:0.0011 | acc:100.0% | val_loss:5.8888 | val_acc:87.9365% | time:17s869ms
[2019-06-22 16:28:12,289][INFO]: LeNet | epoch:49/100 | tol_epoch:49 | loss:0.0011 | acc:100.0% | val_loss:5.9073 | val_acc:87.9762% | time:17s920ms
[2019-06-22 16:28:30,277][INFO]: LeNet | epoch:50/100 | tol_epoch:50 | loss:0.0009 | acc:100.0% | val_loss:5.9163 | val_acc:87.9365% | time:17s986ms
[2019-06-22 16:28:49,415][INFO]: LeNet | epoch:51/100 | tol_epoch:51 | loss:0.0010 | acc:100.0% | val_loss:5.9242 | val_acc:87.8968% | time:17s997ms
[2019-06-22 16:29:07,387][INFO]: LeNet | epoch:52/100 | tol_epoch:52 | loss:0.0011 | acc:100.0% | val_loss:5.9247 | val_acc:87.8968% | time:17s971ms
