[2019-06-23 18:57:43,974][DEBUG]:  AlexNet | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.005000
[2019-06-23 19:06:53,699][INFO]: AlexNet | epoch:31/100 | tol_epoch:31 | loss:0.1639 | acc: 99.3% | val_loss:2.2677 | val_acc:94.3651% | lr:0.002245 | time: 17s366ms
[2019-06-23 19:07:10,953][INFO]: AlexNet | epoch:32/100 | tol_epoch:32 | loss:0.0947 | acc: 99.7% | val_loss:2.2339 | val_acc:94.7222% | lr:0.002115 | time: 17s253ms
[2019-06-23 19:07:28,278][INFO]: AlexNet | epoch:33/100 | tol_epoch:33 | loss:0.0551 | acc: 99.8% | val_loss:3.7435 | val_acc:91.0714% | lr:0.001987 | time: 17s320ms
[2019-06-23 19:07:45,581][INFO]: AlexNet | epoch:34/100 | tol_epoch:34 | loss:0.1137 | acc: 99.4% | val_loss:1.9448 | val_acc:94.9603% | lr:0.001859 | time: 17s301ms
[2019-06-23 19:08:02,920][INFO]: AlexNet | epoch:35/100 | tol_epoch:35 | loss:0.0233 | acc:100.0% | val_loss:2.1038 | val_acc:95.3571% | lr:0.001734 | time: 17s337ms
[2019-06-23 19:08:21,484][INFO]: AlexNet | epoch:36/100 | tol_epoch:36 | loss:0.0164 | acc:100.0% | val_loss:2.1677 | val_acc:94.7222% | lr:0.001610 | time: 17s190ms
[2019-06-23 19:08:38,731][INFO]: AlexNet | epoch:37/100 | tol_epoch:37 | loss:0.0288 | acc: 99.9% | val_loss:2.4694 | val_acc:95.1190% | lr:0.001490 | time: 17s240ms
[2019-06-23 19:08:55,882][INFO]: AlexNet | epoch:38/100 | tol_epoch:38 | loss:0.0063 | acc:100.0% | val_loss:2.4750 | val_acc:95.1190% | lr:0.001371 | time: 17s149ms
[2019-06-23 19:09:13,061][INFO]: AlexNet | epoch:39/100 | tol_epoch:39 | loss:0.0030 | acc:100.0% | val_loss:2.5216 | val_acc:95.2381% | lr:0.001256 | time: 17s178ms
[2019-06-23 19:09:30,289][INFO]: AlexNet | epoch:40/100 | tol_epoch:40 | loss:0.0038 | acc:100.0% | val_loss:2.5244 | val_acc:95.0794% | lr:0.001145 | time: 17s226ms
[2019-06-23 19:09:48,775][INFO]: AlexNet | epoch:41/100 | tol_epoch:41 | loss:0.0031 | acc:100.0% | val_loss:2.6002 | val_acc:95.0000% | lr:0.001037 | time: 17s176ms
[2019-06-23 19:10:06,003][INFO]: AlexNet | epoch:42/100 | tol_epoch:42 | loss:0.0028 | acc:100.0% | val_loss:2.5956 | val_acc:95.0397% | lr:0.000933 | time: 17s227ms
[2019-06-23 19:10:23,188][INFO]: AlexNet | epoch:43/100 | tol_epoch:43 | loss:0.0021 | acc:100.0% | val_loss:2.6466 | val_acc:95.0397% | lr:0.000833 | time: 17s184ms
[2019-06-23 19:10:40,418][INFO]: AlexNet | epoch:44/100 | tol_epoch:44 | loss:0.0029 | acc:100.0% | val_loss:2.6361 | val_acc:94.9603% | lr:0.000738 | time: 17s228ms
[2019-06-23 19:10:57,561][INFO]: AlexNet | epoch:45/100 | tol_epoch:45 | loss:0.0020 | acc:100.0% | val_loss:2.6593 | val_acc:94.8413% | lr:0.000648 | time: 17s141ms
[2019-06-23 19:11:16,160][INFO]: AlexNet | epoch:46/100 | tol_epoch:46 | loss:0.0014 | acc:100.0% | val_loss:2.6599 | val_acc:94.9206% | lr:0.000563 | time: 17s264ms
[2019-06-23 19:11:33,383][INFO]: AlexNet | epoch:47/100 | tol_epoch:47 | loss:0.0018 | acc:100.0% | val_loss:2.6820 | val_acc:94.8810% | lr:0.000483 | time: 17s221ms
[2019-06-23 19:11:50,596][INFO]: AlexNet | epoch:48/100 | tol_epoch:48 | loss:0.0017 | acc:100.0% | val_loss:2.6918 | val_acc:94.9603% | lr:0.000409 | time: 17s211ms
[2019-06-23 19:12:07,762][INFO]: AlexNet | epoch:49/100 | tol_epoch:49 | loss:0.0017 | acc:100.0% | val_loss:2.6981 | val_acc:95.0397% | lr:0.000341 | time: 17s165ms
[2019-06-23 19:12:24,959][INFO]: AlexNet | epoch:50/100 | tol_epoch:50 | loss:0.0014 | acc:100.0% | val_loss:2.7077 | val_acc:95.0397% | lr:0.000278 | time: 17s196ms
[2019-06-23 19:12:43,412][INFO]: AlexNet | epoch:51/100 | tol_epoch:51 | loss:0.0020 | acc:100.0% | val_loss:2.7114 | val_acc:95.0397% | lr:0.000222 | time: 17s167ms
[2019-06-23 19:13:00,573][INFO]: AlexNet | epoch:52/100 | tol_epoch:52 | loss:0.0024 | acc:100.0% | val_loss:2.7160 | val_acc:95.0000% | lr:0.000171 | time: 17s160ms
[2019-06-23 19:13:17,755][INFO]: AlexNet | epoch:53/100 | tol_epoch:53 | loss:0.0017 | acc:100.0% | val_loss:2.7186 | val_acc:95.0000% | lr:0.000128 | time: 17s181ms
