[2019-06-22 18:52:45,385][DEBUG]:  LeNet | train set size:72x64 | val set size:40x64 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-22 18:52:56,536][INFO]: LeNet | epoch:1/100 | tol_epoch:1 | loss:4.8469 | acc: 28.1% | val_loss:2.6837 | val_acc:56.8254% | lr:0.009986 | time: 11s150ms
[2019-06-22 18:53:06,239][INFO]: LeNet | epoch:2/100 | tol_epoch:2 | loss:1.9403 | acc: 68.5% | val_loss:1.3109 | val_acc:76.6667% | lr:0.009952 | time: 9s697ms
[2019-06-22 18:53:15,920][INFO]: LeNet | epoch:3/100 | tol_epoch:3 | loss:0.8646 | acc: 84.4% | val_loss:0.7261 | val_acc:87.9762% | lr:0.009904 | time: 9s679ms
[2019-06-22 18:53:25,603][INFO]: LeNet | epoch:4/100 | tol_epoch:4 | loss:0.4820 | acc: 91.2% | val_loss:0.5592 | val_acc:90.3571% | lr:0.009843 | time: 9s681ms
[2019-06-22 18:53:35,210][INFO]: LeNet | epoch:5/100 | tol_epoch:5 | loss:0.2935 | acc: 94.3% | val_loss:0.5641 | val_acc:91.3492% | lr:0.009769 | time: 9s605ms
[2019-06-22 18:53:44,787][INFO]: LeNet | epoch:6/100 | tol_epoch:6 | loss:0.2217 | acc: 96.0% | val_loss:0.5972 | val_acc:90.8333% | lr:0.009681 | time: 9s561ms
[2019-06-22 18:53:54,442][INFO]: LeNet | epoch:7/100 | tol_epoch:7 | loss:0.1981 | acc: 96.5% | val_loss:0.6772 | val_acc:90.0397% | lr:0.009581 | time: 9s655ms
[2019-06-22 18:54:04,278][INFO]: LeNet | epoch:8/100 | tol_epoch:8 | loss:0.1071 | acc: 97.9% | val_loss:0.4749 | val_acc:93.8095% | lr:0.009469 | time: 9s834ms
[2019-06-22 18:54:14,124][INFO]: LeNet | epoch:9/100 | tol_epoch:9 | loss:0.0889 | acc: 98.3% | val_loss:0.6055 | val_acc:89.9603% | lr:0.009344 | time: 9s846ms
[2019-06-22 18:54:23,723][INFO]: LeNet | epoch:10/100 | tol_epoch:10 | loss:0.0996 | acc: 98.2% | val_loss:0.6153 | val_acc:92.1825% | lr:0.009207 | time: 9s597ms
[2019-06-22 18:54:33,355][INFO]: LeNet | epoch:11/100 | tol_epoch:11 | loss:0.0458 | acc: 99.1% | val_loss:0.5305 | val_acc:93.5714% | lr:0.009059 | time: 9s617ms
[2019-06-22 18:54:42,963][INFO]: LeNet | epoch:12/100 | tol_epoch:12 | loss:0.0400 | acc: 99.4% | val_loss:0.5582 | val_acc:93.0952% | lr:0.008899 | time: 9s606ms
[2019-06-22 18:54:52,579][INFO]: LeNet | epoch:13/100 | tol_epoch:13 | loss:0.0228 | acc: 99.6% | val_loss:0.5282 | val_acc:93.7302% | lr:0.008729 | time: 9s614ms
[2019-06-22 18:55:02,270][INFO]: LeNet | epoch:14/100 | tol_epoch:14 | loss:0.0318 | acc: 99.3% | val_loss:0.6375 | val_acc:92.1429% | lr:0.008549 | time: 9s690ms
[2019-06-22 18:55:11,972][INFO]: LeNet | epoch:15/100 | tol_epoch:15 | loss:0.0284 | acc: 99.3% | val_loss:0.5469 | val_acc:93.3730% | lr:0.008359 | time: 9s700ms
[2019-06-22 18:55:21,556][INFO]: LeNet | epoch:16/100 | tol_epoch:16 | loss:0.0140 | acc: 99.7% | val_loss:0.5752 | val_acc:93.4127% | lr:0.008160 | time: 9s569ms
[2019-06-22 18:55:31,182][INFO]: LeNet | epoch:17/100 | tol_epoch:17 | loss:0.0124 | acc: 99.8% | val_loss:0.6123 | val_acc:93.2937% | lr:0.007952 | time: 9s625ms
[2019-06-22 18:55:40,805][INFO]: LeNet | epoch:18/100 | tol_epoch:18 | loss:0.0121 | acc: 99.7% | val_loss:0.6203 | val_acc:93.3730% | lr:0.007737 | time: 9s621ms
[2019-06-22 18:55:50,494][INFO]: LeNet | epoch:19/100 | tol_epoch:19 | loss:0.0056 | acc:100.0% | val_loss:0.6358 | val_acc:93.2937% | lr:0.007513 | time: 9s688ms
[2019-06-22 18:56:00,163][INFO]: LeNet | epoch:20/100 | tol_epoch:20 | loss:0.0074 | acc: 99.8% | val_loss:0.6497 | val_acc:93.5714% | lr:0.007283 | time: 9s667ms
[2019-06-22 18:56:09,796][INFO]: LeNet | epoch:21/100 | tol_epoch:21 | loss:0.0037 | acc: 99.9% | val_loss:0.6570 | val_acc:93.6905% | lr:0.007047 | time: 9s619ms
[2019-06-22 18:56:19,376][INFO]: LeNet | epoch:22/100 | tol_epoch:22 | loss:0.0022 | acc:100.0% | val_loss:0.6757 | val_acc:93.5317% | lr:0.006805 | time: 9s580ms
[2019-06-22 18:56:29,084][INFO]: LeNet | epoch:23/100 | tol_epoch:23 | loss:0.0038 | acc: 99.9% | val_loss:0.6686 | val_acc:93.6508% | lr:0.006558 | time: 9s706ms
[2019-06-22 18:56:38,868][INFO]: LeNet | epoch:24/100 | tol_epoch:24 | loss:0.0015 | acc:100.0% | val_loss:0.6928 | val_acc:93.3730% | lr:0.006307 | time: 9s783ms
[2019-06-22 18:56:48,606][INFO]: LeNet | epoch:25/100 | tol_epoch:25 | loss:0.0014 | acc:100.0% | val_loss:0.7065 | val_acc:93.5317% | lr:0.006053 | time: 9s736ms
[2019-06-22 18:56:58,535][INFO]: LeNet | epoch:26/100 | tol_epoch:26 | loss:0.0016 | acc:100.0% | val_loss:0.7055 | val_acc:93.7698% | lr:0.005795 | time: 9s915ms
[2019-06-22 18:57:08,215][INFO]: LeNet | epoch:27/100 | tol_epoch:27 | loss:0.0011 | acc:100.0% | val_loss:0.7213 | val_acc:93.7698% | lr:0.005536 | time: 9s678ms
[2019-06-22 18:57:17,821][INFO]: LeNet | epoch:28/100 | tol_epoch:28 | loss:0.0007 | acc:100.0% | val_loss:0.7222 | val_acc:93.7302% | lr:0.005275 | time: 9s605ms
[2019-06-22 18:57:27,447][INFO]: LeNet | epoch:29/100 | tol_epoch:29 | loss:0.0009 | acc:100.0% | val_loss:0.7243 | val_acc:93.7698% | lr:0.005013 | time: 9s625ms
[2019-06-22 18:57:37,042][INFO]: LeNet | epoch:30/100 | tol_epoch:30 | loss:0.0006 | acc:100.0% | val_loss:0.7310 | val_acc:93.7302% | lr:0.004751 | time: 9s593ms
[2019-06-22 18:57:46,803][INFO]: LeNet | epoch:31/100 | tol_epoch:31 | loss:0.0006 | acc:100.0% | val_loss:0.7379 | val_acc:93.7698% | lr:0.004490 | time: 9s748ms
[2019-06-22 18:57:56,475][INFO]: LeNet | epoch:32/100 | tol_epoch:32 | loss:0.0006 | acc:100.0% | val_loss:0.7381 | val_acc:93.8095% | lr:0.004231 | time: 9s670ms
[2019-06-22 18:58:06,134][INFO]: LeNet | epoch:33/100 | tol_epoch:33 | loss:0.0005 | acc:100.0% | val_loss:0.7441 | val_acc:93.7698% | lr:0.003973 | time: 9s659ms
[2019-06-22 18:58:15,735][INFO]: LeNet | epoch:34/100 | tol_epoch:34 | loss:0.0005 | acc:100.0% | val_loss:0.7456 | val_acc:93.7302% | lr:0.003719 | time: 9s597ms
