[2019-06-22 17:21:27,667][DEBUG]:  LeNet | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-22 17:21:39,879][INFO]: LeNet | epoch:1/100 | tol_epoch:1 | loss:12.2087 | acc: 50.2% | val_loss:6.2368 | val_acc:75.1587% | lr:0.009986 | time: 12s212ms
[2019-06-22 17:21:50,850][INFO]: LeNet | epoch:2/100 | tol_epoch:2 | loss:4.0621 | acc: 82.3% | val_loss:2.8117 | val_acc:86.7460% | lr:0.009952 | time: 10s960ms
[2019-06-22 17:22:01,865][INFO]: LeNet | epoch:3/100 | tol_epoch:3 | loss:2.4907 | acc: 89.2% | val_loss:2.4945 | val_acc:90.7143% | lr:0.009904 | time: 11s9ms
[2019-06-22 17:22:12,824][INFO]: LeNet | epoch:4/100 | tol_epoch:4 | loss:1.5178 | acc: 93.5% | val_loss:1.8493 | val_acc:92.3413% | lr:0.009843 | time: 10s956ms
[2019-06-22 17:22:23,646][INFO]: LeNet | epoch:5/100 | tol_epoch:5 | loss:1.6685 | acc: 93.2% | val_loss:2.7171 | val_acc:88.4127% | lr:0.009769 | time: 10s818ms
[2019-06-22 17:22:34,570][INFO]: LeNet | epoch:6/100 | tol_epoch:6 | loss:1.5522 | acc: 93.9% | val_loss:1.4100 | val_acc:95.1984% | lr:0.009681 | time: 10s880ms
[2019-06-22 17:22:45,347][INFO]: LeNet | epoch:7/100 | tol_epoch:7 | loss:0.7588 | acc: 96.5% | val_loss:1.9148 | val_acc:94.6429% | lr:0.009581 | time: 10s777ms
[2019-06-22 17:22:56,170][INFO]: LeNet | epoch:8/100 | tol_epoch:8 | loss:0.5882 | acc: 97.7% | val_loss:1.9436 | val_acc:93.8492% | lr:0.009469 | time: 10s820ms
[2019-06-22 17:23:06,969][INFO]: LeNet | epoch:9/100 | tol_epoch:9 | loss:0.5493 | acc: 97.7% | val_loss:1.4585 | val_acc:95.1587% | lr:0.009344 | time: 10s798ms
[2019-06-22 17:23:17,749][INFO]: LeNet | epoch:10/100 | tol_epoch:10 | loss:0.4963 | acc: 98.1% | val_loss:2.7129 | val_acc:90.9524% | lr:0.009207 | time: 10s778ms
[2019-06-22 17:23:28,602][INFO]: LeNet | epoch:11/100 | tol_epoch:11 | loss:0.7323 | acc: 97.3% | val_loss:2.4751 | val_acc:94.8016% | lr:0.009059 | time: 10s799ms
[2019-06-22 17:23:39,377][INFO]: LeNet | epoch:12/100 | tol_epoch:12 | loss:0.7895 | acc: 97.2% | val_loss:2.2846 | val_acc:93.5714% | lr:0.008899 | time: 10s774ms
[2019-06-22 17:23:50,154][INFO]: LeNet | epoch:13/100 | tol_epoch:13 | loss:0.4996 | acc: 98.0% | val_loss:2.3954 | val_acc:94.4048% | lr:0.008729 | time: 10s774ms
[2019-06-22 17:24:00,978][INFO]: LeNet | epoch:14/100 | tol_epoch:14 | loss:0.1614 | acc: 99.1% | val_loss:2.6109 | val_acc:94.5238% | lr:0.008549 | time: 10s822ms
[2019-06-22 17:24:11,848][INFO]: LeNet | epoch:15/100 | tol_epoch:15 | loss:0.1688 | acc: 99.2% | val_loss:2.3820 | val_acc:95.1190% | lr:0.008359 | time: 10s869ms
[2019-06-22 17:24:22,813][INFO]: LeNet | epoch:16/100 | tol_epoch:16 | loss:0.1500 | acc: 99.4% | val_loss:2.7824 | val_acc:92.9762% | lr:0.008160 | time: 10s914ms
[2019-06-22 17:24:33,606][INFO]: LeNet | epoch:17/100 | tol_epoch:17 | loss:0.6081 | acc: 97.6% | val_loss:3.5004 | val_acc:89.3254% | lr:0.007952 | time: 10s792ms
[2019-06-22 17:24:44,406][INFO]: LeNet | epoch:18/100 | tol_epoch:18 | loss:0.6611 | acc: 97.6% | val_loss:2.4079 | val_acc:93.2540% | lr:0.007737 | time: 10s799ms
[2019-06-22 17:24:55,194][INFO]: LeNet | epoch:19/100 | tol_epoch:19 | loss:0.3142 | acc: 98.8% | val_loss:1.9266 | val_acc:95.0397% | lr:0.007513 | time: 10s786ms
[2019-06-22 17:25:06,002][INFO]: LeNet | epoch:20/100 | tol_epoch:20 | loss:0.1262 | acc: 99.6% | val_loss:2.4113 | val_acc:93.1746% | lr:0.007283 | time: 10s807ms
[2019-06-22 17:25:16,830][INFO]: LeNet | epoch:21/100 | tol_epoch:21 | loss:0.1147 | acc: 99.5% | val_loss:2.3944 | val_acc:94.6825% | lr:0.007047 | time: 10s777ms
