[2019-06-22 18:01:45,315][DEBUG]:  LeNet | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-22 18:07:23,706][INFO]: LeNet | epoch:31/100 | tol_epoch:31 | loss:0.0009 | acc:100.0% | val_loss:2.0755 | val_acc:94.9206% | lr:0.004490 | time: 10s787ms
[2019-06-22 18:07:34,551][INFO]: LeNet | epoch:32/100 | tol_epoch:32 | loss:0.0006 | acc:100.0% | val_loss:2.0833 | val_acc:94.9206% | lr:0.004231 | time: 10s844ms
[2019-06-22 18:07:45,406][INFO]: LeNet | epoch:33/100 | tol_epoch:33 | loss:0.0007 | acc:100.0% | val_loss:2.0881 | val_acc:95.0000% | lr:0.003973 | time: 10s853ms
[2019-06-22 18:07:56,281][INFO]: LeNet | epoch:34/100 | tol_epoch:34 | loss:0.0006 | acc:100.0% | val_loss:2.1078 | val_acc:95.0000% | lr:0.003719 | time: 10s871ms
[2019-06-22 18:08:07,170][INFO]: LeNet | epoch:35/100 | tol_epoch:35 | loss:0.0006 | acc:100.0% | val_loss:2.1164 | val_acc:95.0397% | lr:0.003468 | time: 10s888ms
[2019-06-22 18:08:18,005][INFO]: LeNet | epoch:36/100 | tol_epoch:36 | loss:0.0006 | acc:100.0% | val_loss:2.1215 | val_acc:95.0794% | lr:0.003221 | time: 10s820ms
[2019-06-22 18:08:28,823][INFO]: LeNet | epoch:37/100 | tol_epoch:37 | loss:0.0005 | acc:100.0% | val_loss:2.1252 | val_acc:95.0794% | lr:0.002979 | time: 10s815ms
[2019-06-22 18:08:39,585][INFO]: LeNet | epoch:38/100 | tol_epoch:38 | loss:0.0005 | acc:100.0% | val_loss:2.1339 | val_acc:95.0397% | lr:0.002743 | time: 10s761ms
[2019-06-22 18:08:50,780][INFO]: LeNet | epoch:39/100 | tol_epoch:39 | loss:0.0005 | acc:100.0% | val_loss:2.1364 | val_acc:95.0794% | lr:0.002513 | time: 11s194ms
[2019-06-22 18:09:01,634][INFO]: LeNet | epoch:40/100 | tol_epoch:40 | loss:0.0005 | acc:100.0% | val_loss:2.1418 | val_acc:95.0397% | lr:0.002289 | time: 10s853ms
[2019-06-22 18:09:12,387][INFO]: LeNet | epoch:41/100 | tol_epoch:41 | loss:0.0004 | acc:100.0% | val_loss:2.1458 | val_acc:95.0397% | lr:0.002074 | time: 10s739ms
[2019-06-22 18:09:23,174][INFO]: LeNet | epoch:42/100 | tol_epoch:42 | loss:0.0004 | acc:100.0% | val_loss:2.1517 | val_acc:95.0000% | lr:0.001866 | time: 10s785ms
[2019-06-22 18:09:33,966][INFO]: LeNet | epoch:43/100 | tol_epoch:43 | loss:0.0005 | acc:100.0% | val_loss:2.1579 | val_acc:95.0000% | lr:0.001667 | time: 10s791ms
[2019-06-22 18:09:44,697][INFO]: LeNet | epoch:44/100 | tol_epoch:44 | loss:0.0004 | acc:100.0% | val_loss:2.1616 | val_acc:94.9603% | lr:0.001477 | time: 10s730ms
[2019-06-22 18:09:55,591][INFO]: LeNet | epoch:45/100 | tol_epoch:45 | loss:0.0004 | acc:100.0% | val_loss:2.1629 | val_acc:94.9603% | lr:0.001296 | time: 10s892ms
[2019-06-22 18:10:06,604][INFO]: LeNet | epoch:46/100 | tol_epoch:46 | loss:0.0004 | acc:100.0% | val_loss:2.1646 | val_acc:95.0000% | lr:0.001126 | time: 10s997ms
[2019-06-22 18:10:17,448][INFO]: LeNet | epoch:47/100 | tol_epoch:47 | loss:0.0004 | acc:100.0% | val_loss:2.1671 | val_acc:94.9603% | lr:0.000967 | time: 10s842ms
[2019-06-22 18:10:28,227][INFO]: LeNet | epoch:48/100 | tol_epoch:48 | loss:0.0004 | acc:100.0% | val_loss:2.1682 | val_acc:95.0397% | lr:0.000818 | time: 10s777ms
[2019-06-22 18:10:39,087][INFO]: LeNet | epoch:49/100 | tol_epoch:49 | loss:0.0004 | acc:100.0% | val_loss:2.1703 | val_acc:95.0000% | lr:0.000681 | time: 10s857ms
[2019-06-22 18:10:49,974][INFO]: LeNet | epoch:50/100 | tol_epoch:50 | loss:0.0004 | acc:100.0% | val_loss:2.1712 | val_acc:94.9603% | lr:0.000556 | time: 10s884ms
[2019-06-22 18:11:00,827][INFO]: LeNet | epoch:51/100 | tol_epoch:51 | loss:0.0004 | acc:100.0% | val_loss:2.1720 | val_acc:95.0000% | lr:0.000443 | time: 10s839ms
[2019-06-22 18:11:11,573][INFO]: LeNet | epoch:52/100 | tol_epoch:52 | loss:0.0003 | acc:100.0% | val_loss:2.1725 | val_acc:95.0397% | lr:0.000343 | time: 10s743ms
[2019-06-22 18:11:22,310][INFO]: LeNet | epoch:53/100 | tol_epoch:53 | loss:0.0004 | acc:100.0% | val_loss:2.1729 | val_acc:95.0397% | lr:0.000255 | time: 10s735ms
[2019-06-22 18:11:33,097][INFO]: LeNet | epoch:54/100 | tol_epoch:54 | loss:0.0004 | acc:100.0% | val_loss:2.1732 | val_acc:95.0397% | lr:0.000180 | time: 10s785ms
