[2019-06-22 16:50:23,877][DEBUG]:  LeNet | train set size:286x16 | val set size:158x16 | input size:(224, 224) | class num:62 | lr: 0.010000
[2019-06-22 16:59:48,679][INFO]: LeNet | epoch:31/100 | tol_epoch:31 | loss:0.3548 | acc: 98.8% | val_loss:5.8983 | val_acc:87.1032% | lr:0.006553 | time: 17s913ms
[2019-06-22 17:00:06,576][INFO]: LeNet | epoch:32/100 | tol_epoch:32 | loss:0.6350 | acc: 98.3% | val_loss:5.4763 | val_acc:86.7063% | lr:0.006365 | time: 17s896ms
[2019-06-22 17:00:24,657][INFO]: LeNet | epoch:33/100 | tol_epoch:33 | loss:0.1822 | acc: 99.3% | val_loss:5.6626 | val_acc:87.8175% | lr:0.006175 | time: 18s80ms
[2019-06-22 17:00:42,596][INFO]: LeNet | epoch:34/100 | tol_epoch:34 | loss:0.4636 | acc: 98.8% | val_loss:14.2492 | val_acc:81.7063% | lr:0.005983 | time: 17s938ms
[2019-06-22 17:01:00,635][INFO]: LeNet | epoch:35/100 | tol_epoch:35 | loss:0.8359 | acc: 97.6% | val_loss:5.5241 | val_acc:87.2222% | lr:0.005790 | time: 18s37ms
[2019-06-22 17:01:19,753][INFO]: LeNet | epoch:36/100 | tol_epoch:36 | loss:0.0910 | acc: 99.6% | val_loss:5.0856 | val_acc:87.0635% | lr:0.005595 | time: 18s53ms
[2019-06-22 17:01:37,667][INFO]: LeNet | epoch:37/100 | tol_epoch:37 | loss:0.1191 | acc: 99.6% | val_loss:5.0341 | val_acc:88.1349% | lr:0.005400 | time: 17s912ms
[2019-06-22 17:01:55,787][INFO]: LeNet | epoch:38/100 | tol_epoch:38 | loss:0.4936 | acc: 98.6% | val_loss:5.9729 | val_acc:84.2460% | lr:0.005204 | time: 18s119ms
[2019-06-22 17:02:13,756][INFO]: LeNet | epoch:39/100 | tol_epoch:39 | loss:0.2967 | acc: 98.8% | val_loss:4.9203 | val_acc:88.2540% | lr:0.005007 | time: 17s967ms
[2019-06-22 17:02:32,005][INFO]: LeNet | epoch:40/100 | tol_epoch:40 | loss:0.0803 | acc: 99.7% | val_loss:5.0730 | val_acc:87.9365% | lr:0.004811 | time: 18s248ms
[2019-06-22 17:02:50,854][INFO]: LeNet | epoch:41/100 | tol_epoch:41 | loss:0.2924 | acc: 98.7% | val_loss:4.9813 | val_acc:87.6190% | lr:0.004615 | time: 17s837ms
[2019-06-22 17:03:08,905][INFO]: LeNet | epoch:42/100 | tol_epoch:42 | loss:0.0557 | acc: 99.8% | val_loss:5.2199 | val_acc:87.7778% | lr:0.004420 | time: 18s49ms
[2019-06-22 17:03:26,877][INFO]: LeNet | epoch:43/100 | tol_epoch:43 | loss:0.0464 | acc: 99.8% | val_loss:5.1718 | val_acc:88.5714% | lr:0.004225 | time: 17s971ms
[2019-06-22 17:03:44,890][INFO]: LeNet | epoch:44/100 | tol_epoch:44 | loss:0.0242 | acc: 99.9% | val_loss:5.2340 | val_acc:88.8492% | lr:0.004032 | time: 18s11ms
[2019-06-22 17:04:02,772][INFO]: LeNet | epoch:45/100 | tol_epoch:45 | loss:0.0173 | acc: 99.9% | val_loss:5.2771 | val_acc:88.6508% | lr:0.003840 | time: 17s878ms
[2019-06-22 17:04:22,088][INFO]: LeNet | epoch:46/100 | tol_epoch:46 | loss:0.0113 | acc:100.0% | val_loss:5.4951 | val_acc:87.6587% | lr:0.003650 | time: 18s202ms
[2019-06-22 17:04:40,067][INFO]: LeNet | epoch:47/100 | tol_epoch:47 | loss:0.0850 | acc: 99.8% | val_loss:5.1987 | val_acc:88.0952% | lr:0.003462 | time: 17s978ms
[2019-06-22 17:04:57,928][INFO]: LeNet | epoch:48/100 | tol_epoch:48 | loss:0.0217 | acc: 99.9% | val_loss:5.1936 | val_acc:88.8095% | lr:0.003277 | time: 17s857ms
[2019-06-22 17:05:15,772][INFO]: LeNet | epoch:49/100 | tol_epoch:49 | loss:0.0171 | acc: 99.9% | val_loss:5.0717 | val_acc:89.0079% | lr:0.003094 | time: 17s842ms
