[2019-06-22 22:54:53,975][DEBUG]:  VGG19bn | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-22 22:55:22,692][INFO]: VGG19bn | epoch:1/100 | tol_epoch:1 | loss:30.4534 | acc:  7.2% | val_loss:21.2444 | val_acc:10.5556% | lr:0.009986 | time: 28s717ms
[2019-06-22 22:55:50,027][INFO]: VGG19bn | epoch:2/100 | tol_epoch:2 | loss:20.7746 | acc: 12.3% | val_loss:19.9183 | val_acc:4.5238% | lr:0.009952 | time: 27s329ms
[2019-06-22 22:56:17,590][INFO]: VGG19bn | epoch:3/100 | tol_epoch:3 | loss:19.9464 | acc: 12.0% | val_loss:19.2235 | val_acc:15.7143% | lr:0.009904 | time: 27s561ms
[2019-06-22 22:56:44,974][INFO]: VGG19bn | epoch:4/100 | tol_epoch:4 | loss:19.5102 | acc: 12.6% | val_loss:19.2574 | val_acc:11.0317% | lr:0.009843 | time: 27s382ms
[2019-06-22 22:57:12,368][INFO]: VGG19bn | epoch:5/100 | tol_epoch:5 | loss:19.3816 | acc: 13.0% | val_loss:19.4523 | val_acc:11.2302% | lr:0.009769 | time: 27s390ms
[2019-06-22 22:57:46,003][INFO]: VGG19bn | epoch:6/100 | tol_epoch:6 | loss:19.0529 | acc: 13.4% | val_loss:18.8564 | val_acc:11.2302% | lr:0.009681 | time: 27s493ms
[2019-06-22 22:58:13,467][INFO]: VGG19bn | epoch:7/100 | tol_epoch:7 | loss:18.5434 | acc: 15.6% | val_loss:20.4420 | val_acc:5.0397% | lr:0.009581 | time: 27s462ms
[2019-06-22 22:58:40,921][INFO]: VGG19bn | epoch:8/100 | tol_epoch:8 | loss:18.0193 | acc: 17.3% | val_loss:17.2587 | val_acc:13.9286% | lr:0.009469 | time: 27s453ms
[2019-06-22 22:59:08,427][INFO]: VGG19bn | epoch:9/100 | tol_epoch:9 | loss:17.2607 | acc: 19.7% | val_loss:16.4035 | val_acc:16.7460% | lr:0.009344 | time: 27s503ms
[2019-06-22 22:59:35,916][INFO]: VGG19bn | epoch:10/100 | tol_epoch:10 | loss:16.3608 | acc: 24.7% | val_loss:16.3204 | val_acc:20.8730% | lr:0.009207 | time: 27s485ms
[2019-06-22 23:00:06,410][INFO]: VGG19bn | epoch:11/100 | tol_epoch:11 | loss:15.2227 | acc: 32.5% | val_loss:15.2701 | val_acc:24.5238% | lr:0.009059 | time: 27s485ms
[2019-06-22 23:00:33,860][INFO]: VGG19bn | epoch:12/100 | tol_epoch:12 | loss:13.8278 | acc: 40.0% | val_loss:13.2768 | val_acc:41.5873% | lr:0.008899 | time: 27s448ms
[2019-06-22 23:01:01,278][INFO]: VGG19bn | epoch:13/100 | tol_epoch:13 | loss:16.2463 | acc: 37.6% | val_loss:14.6423 | val_acc:32.1032% | lr:0.008729 | time: 27s412ms
[2019-06-22 23:01:28,639][INFO]: VGG19bn | epoch:14/100 | tol_epoch:14 | loss:12.3055 | acc: 49.0% | val_loss:14.6854 | val_acc:44.1667% | lr:0.008549 | time: 27s357ms
[2019-06-22 23:01:56,192][INFO]: VGG19bn | epoch:15/100 | tol_epoch:15 | loss:12.9951 | acc: 48.5% | val_loss:19.2276 | val_acc:36.0714% | lr:0.008359 | time: 27s550ms
[2019-06-22 23:02:33,087][INFO]: VGG19bn | epoch:16/100 | tol_epoch:16 | loss:11.4752 | acc: 56.0% | val_loss:9.0686 | val_acc:59.0476% | lr:0.008160 | time: 27s449ms
[2019-06-22 23:03:00,478][INFO]: VGG19bn | epoch:17/100 | tol_epoch:17 | loss:8.3120 | acc: 63.1% | val_loss:7.6200 | val_acc:62.0238% | lr:0.007952 | time: 27s389ms
[2019-06-22 23:03:27,978][INFO]: VGG19bn | epoch:18/100 | tol_epoch:18 | loss:9.8678 | acc: 61.8% | val_loss:7.6737 | val_acc:61.1905% | lr:0.007737 | time: 27s499ms
[2019-06-22 23:03:55,408][INFO]: VGG19bn | epoch:19/100 | tol_epoch:19 | loss:6.7350 | acc: 68.3% | val_loss:5.4991 | val_acc:71.5873% | lr:0.007513 | time: 27s429ms
[2019-06-22 23:04:22,894][INFO]: VGG19bn | epoch:20/100 | tol_epoch:20 | loss:5.5268 | acc: 73.5% | val_loss:5.4030 | val_acc:75.2778% | lr:0.007283 | time: 27s484ms
[2019-06-22 23:04:53,381][INFO]: VGG19bn | epoch:21/100 | tol_epoch:21 | loss:4.6932 | acc: 77.3% | val_loss:4.3923 | val_acc:79.6032% | lr:0.007047 | time: 27s420ms
[2019-06-22 23:05:20,850][INFO]: VGG19bn | epoch:22/100 | tol_epoch:22 | loss:4.0979 | acc: 79.6% | val_loss:3.4794 | val_acc:82.1429% | lr:0.006805 | time: 27s467ms
[2019-06-22 23:05:48,303][INFO]: VGG19bn | epoch:23/100 | tol_epoch:23 | loss:3.4904 | acc: 82.5% | val_loss:3.9091 | val_acc:81.2302% | lr:0.006558 | time: 27s451ms
[2019-06-22 23:06:15,719][INFO]: VGG19bn | epoch:24/100 | tol_epoch:24 | loss:3.0746 | acc: 84.4% | val_loss:3.2477 | val_acc:85.7937% | lr:0.006307 | time: 27s415ms
[2019-06-22 23:06:43,135][INFO]: VGG19bn | epoch:25/100 | tol_epoch:25 | loss:2.8526 | acc: 85.9% | val_loss:2.9933 | val_acc:85.6349% | lr:0.006053 | time: 27s414ms
[2019-06-22 23:07:21,497][INFO]: VGG19bn | epoch:26/100 | tol_epoch:26 | loss:2.3892 | acc: 87.5% | val_loss:2.6280 | val_acc:88.0556% | lr:0.005795 | time: 27s846ms
[2019-06-22 23:07:49,657][INFO]: VGG19bn | epoch:27/100 | tol_epoch:27 | loss:2.1670 | acc: 88.9% | val_loss:2.7249 | val_acc:88.0556% | lr:0.005536 | time: 28s159ms
[2019-06-22 23:08:17,509][INFO]: VGG19bn | epoch:28/100 | tol_epoch:28 | loss:1.8705 | acc: 89.9% | val_loss:2.6468 | val_acc:87.6587% | lr:0.005275 | time: 27s846ms
[2019-06-22 23:08:44,980][INFO]: VGG19bn | epoch:29/100 | tol_epoch:29 | loss:1.6981 | acc: 91.0% | val_loss:2.3744 | val_acc:89.2063% | lr:0.005013 | time: 27s469ms
[2019-06-22 23:09:12,524][INFO]: VGG19bn | epoch:30/100 | tol_epoch:30 | loss:1.5633 | acc: 91.6% | val_loss:2.0143 | val_acc:91.8651% | lr:0.004751 | time: 27s542ms
[2019-06-22 23:09:43,083][INFO]: VGG19bn | epoch:31/100 | tol_epoch:31 | loss:1.2956 | acc: 93.2% | val_loss:2.8671 | val_acc:87.8175% | lr:0.004490 | time: 27s471ms
