[2019-06-22 19:45:45,519][DEBUG]:  ResNet18 | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-22 19:54:10,298][INFO]: ResNet18 | epoch:30/100 | tol_epoch:30 | loss:0.0017 | acc:100.0% | val_loss:1.0071 | val_acc:96.8254% | lr:0.004751 | time: 16s664ms
[2019-06-22 19:54:27,090][INFO]: ResNet18 | epoch:31/100 | tol_epoch:31 | loss:0.0016 | acc:100.0% | val_loss:0.9759 | val_acc:96.8254% | lr:0.004490 | time: 16s625ms
[2019-06-22 19:54:43,775][INFO]: ResNet18 | epoch:32/100 | tol_epoch:32 | loss:0.0015 | acc:100.0% | val_loss:0.9728 | val_acc:97.0238% | lr:0.004231 | time: 16s683ms
[2019-06-22 19:55:00,580][INFO]: ResNet18 | epoch:33/100 | tol_epoch:33 | loss:0.0016 | acc:100.0% | val_loss:1.0254 | val_acc:96.9841% | lr:0.003973 | time: 16s804ms
[2019-06-22 19:55:17,281][INFO]: ResNet18 | epoch:34/100 | tol_epoch:34 | loss:0.0014 | acc:100.0% | val_loss:0.9744 | val_acc:96.8651% | lr:0.003719 | time: 16s699ms
[2019-06-22 19:55:33,864][INFO]: ResNet18 | epoch:35/100 | tol_epoch:35 | loss:0.0013 | acc:100.0% | val_loss:0.9814 | val_acc:96.9841% | lr:0.003468 | time: 16s581ms
[2019-06-22 19:55:50,707][INFO]: ResNet18 | epoch:36/100 | tol_epoch:36 | loss:0.0016 | acc:100.0% | val_loss:0.9847 | val_acc:96.8651% | lr:0.003221 | time: 16s673ms
[2019-06-22 19:56:07,490][INFO]: ResNet18 | epoch:37/100 | tol_epoch:37 | loss:0.0018 | acc:100.0% | val_loss:0.9858 | val_acc:96.8254% | lr:0.002979 | time: 16s782ms
[2019-06-22 19:56:24,223][INFO]: ResNet18 | epoch:38/100 | tol_epoch:38 | loss:0.0017 | acc:100.0% | val_loss:0.9835 | val_acc:96.7857% | lr:0.002743 | time: 16s730ms
[2019-06-22 19:56:40,977][INFO]: ResNet18 | epoch:39/100 | tol_epoch:39 | loss:0.0014 | acc:100.0% | val_loss:1.0193 | val_acc:96.8651% | lr:0.002513 | time: 16s752ms
[2019-06-22 19:56:57,770][INFO]: ResNet18 | epoch:40/100 | tol_epoch:40 | loss:0.0021 | acc:100.0% | val_loss:1.0114 | val_acc:96.6667% | lr:0.002289 | time: 16s791ms
[2019-06-22 19:57:14,634][INFO]: ResNet18 | epoch:41/100 | tol_epoch:41 | loss:0.0022 | acc:100.0% | val_loss:1.0402 | val_acc:96.7063% | lr:0.002074 | time: 16s698ms
[2019-06-22 19:57:31,359][INFO]: ResNet18 | epoch:42/100 | tol_epoch:42 | loss:0.0048 | acc:100.0% | val_loss:1.0018 | val_acc:96.7063% | lr:0.001866 | time: 16s722ms
[2019-06-22 19:57:48,043][INFO]: ResNet18 | epoch:43/100 | tol_epoch:43 | loss:0.0049 | acc:100.0% | val_loss:1.0429 | val_acc:96.6270% | lr:0.001667 | time: 16s681ms
[2019-06-22 19:58:04,716][INFO]: ResNet18 | epoch:44/100 | tol_epoch:44 | loss:0.0024 | acc:100.0% | val_loss:1.0263 | val_acc:96.8254% | lr:0.001477 | time: 16s671ms
[2019-06-22 19:58:21,341][INFO]: ResNet18 | epoch:45/100 | tol_epoch:45 | loss:0.0015 | acc:100.0% | val_loss:1.0267 | val_acc:96.8651% | lr:0.001296 | time: 16s624ms
[2019-06-22 19:58:38,171][INFO]: ResNet18 | epoch:46/100 | tol_epoch:46 | loss:0.0015 | acc:100.0% | val_loss:1.0080 | val_acc:96.8254% | lr:0.001126 | time: 16s669ms
[2019-06-22 19:58:54,888][INFO]: ResNet18 | epoch:47/100 | tol_epoch:47 | loss:0.0016 | acc:100.0% | val_loss:1.0178 | val_acc:96.6667% | lr:0.000967 | time: 16s715ms
[2019-06-22 19:59:11,500][INFO]: ResNet18 | epoch:48/100 | tol_epoch:48 | loss:0.0015 | acc:100.0% | val_loss:1.0318 | val_acc:96.7857% | lr:0.000818 | time: 16s610ms
[2019-06-22 19:59:28,224][INFO]: ResNet18 | epoch:49/100 | tol_epoch:49 | loss:0.0015 | acc:100.0% | val_loss:1.0012 | val_acc:97.0635% | lr:0.000681 | time: 16s721ms
[2019-06-22 19:59:44,898][INFO]: ResNet18 | epoch:50/100 | tol_epoch:50 | loss:0.0012 | acc:100.0% | val_loss:1.0214 | val_acc:96.7460% | lr:0.000556 | time: 16s672ms
[2019-06-22 20:00:01,724][INFO]: ResNet18 | epoch:51/100 | tol_epoch:51 | loss:0.0012 | acc:100.0% | val_loss:1.0054 | val_acc:96.7063% | lr:0.000443 | time: 16s661ms
[2019-06-22 20:00:18,242][INFO]: ResNet18 | epoch:52/100 | tol_epoch:52 | loss:0.0017 | acc:100.0% | val_loss:1.0431 | val_acc:96.6270% | lr:0.000343 | time: 16s517ms
[2019-06-22 20:00:34,943][INFO]: ResNet18 | epoch:53/100 | tol_epoch:53 | loss:0.0013 | acc:100.0% | val_loss:1.0326 | val_acc:96.7460% | lr:0.000255 | time: 16s700ms
[2019-06-22 20:00:51,749][INFO]: ResNet18 | epoch:54/100 | tol_epoch:54 | loss:0.0013 | acc:100.0% | val_loss:1.0421 | val_acc:96.7063% | lr:0.000180 | time: 16s805ms
[2019-06-22 20:01:08,423][INFO]: ResNet18 | epoch:55/100 | tol_epoch:55 | loss:0.0012 | acc:100.0% | val_loss:1.0168 | val_acc:96.7460% | lr:0.000119 | time: 16s672ms
[2019-06-22 20:01:25,132][INFO]: ResNet18 | epoch:56/100 | tol_epoch:56 | loss:0.0011 | acc:100.0% | val_loss:1.0172 | val_acc:96.7857% | lr:0.000070 | time: 16s539ms
[2019-06-22 20:01:41,901][INFO]: ResNet18 | epoch:57/100 | tol_epoch:57 | loss:0.0014 | acc:100.0% | val_loss:0.9977 | val_acc:96.7857% | lr:0.000035 | time: 16s767ms
[2019-06-22 20:01:58,576][INFO]: ResNet18 | epoch:58/100 | tol_epoch:58 | loss:0.0016 | acc:100.0% | val_loss:1.0024 | val_acc:96.9048% | lr:0.000012 | time: 16s672ms
[2019-06-22 20:02:15,384][INFO]: ResNet18 | epoch:59/100 | tol_epoch:59 | loss:0.0013 | acc:100.0% | val_loss:1.0009 | val_acc:96.6270% | lr:0.000002 | time: 16s807ms
[2019-06-22 20:02:32,116][INFO]: ResNet18 | epoch:60/100 | tol_epoch:60 | loss:0.0011 | acc:100.0% | val_loss:1.0203 | val_acc:96.7063% | lr:0.000000 | time: 16s729ms
[2019-06-22 20:02:48,891][INFO]: ResNet18 | epoch:61/100 | tol_epoch:61 | loss:0.0014 | acc:100.0% | val_loss:1.0431 | val_acc:96.7857% | lr:0.000014 | time: 16s612ms
[2019-06-22 20:03:05,505][INFO]: ResNet18 | epoch:62/100 | tol_epoch:62 | loss:0.0014 | acc:100.0% | val_loss:1.0207 | val_acc:96.8254% | lr:0.000109 | time: 16s613ms
[2019-06-22 20:03:22,377][INFO]: ResNet18 | epoch:63/100 | tol_epoch:63 | loss:0.0012 | acc:100.0% | val_loss:1.0016 | val_acc:96.9841% | lr:0.000138 | time: 16s870ms
