[2019-06-22 19:23:29,932][DEBUG]:  ResNet18 | train set size:72x64 | val set size:40x64 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-22 19:23:43,265][INFO]: ResNet18 | epoch:1/100 | tol_epoch:1 | loss:3.1425 | acc: 52.8% | val_loss:1.3230 | val_acc:81.4286% | lr:0.009986 | time: 13s333ms
[2019-06-22 19:23:55,154][INFO]: ResNet18 | epoch:2/100 | tol_epoch:2 | loss:0.7260 | acc: 88.3% | val_loss:0.5935 | val_acc:91.2698% | lr:0.009952 | time: 11s881ms
[2019-06-22 19:24:06,946][INFO]: ResNet18 | epoch:3/100 | tol_epoch:3 | loss:0.2925 | acc: 95.5% | val_loss:0.4002 | val_acc:93.5714% | lr:0.009904 | time: 11s790ms
[2019-06-22 19:24:18,675][INFO]: ResNet18 | epoch:4/100 | tol_epoch:4 | loss:0.1272 | acc: 98.4% | val_loss:0.3730 | val_acc:94.2857% | lr:0.009843 | time: 11s728ms
[2019-06-22 19:24:30,418][INFO]: ResNet18 | epoch:5/100 | tol_epoch:5 | loss:0.0757 | acc: 99.1% | val_loss:0.3615 | val_acc:93.6508% | lr:0.009769 | time: 11s739ms
[2019-06-22 19:24:42,431][INFO]: ResNet18 | epoch:6/100 | tol_epoch:6 | loss:0.0545 | acc: 99.2% | val_loss:0.3351 | val_acc:94.4048% | lr:0.009681 | time: 11s862ms
[2019-06-22 19:24:54,279][INFO]: ResNet18 | epoch:7/100 | tol_epoch:7 | loss:0.0387 | acc: 99.6% | val_loss:0.3012 | val_acc:95.2778% | lr:0.009581 | time: 11s847ms
[2019-06-22 19:25:06,100][INFO]: ResNet18 | epoch:8/100 | tol_epoch:8 | loss:0.0235 | acc: 99.8% | val_loss:0.2862 | val_acc:95.2381% | lr:0.009469 | time: 11s820ms
[2019-06-22 19:25:17,822][INFO]: ResNet18 | epoch:9/100 | tol_epoch:9 | loss:0.0111 | acc: 99.9% | val_loss:0.2575 | val_acc:95.9921% | lr:0.009344 | time: 11s721ms
[2019-06-22 19:25:29,685][INFO]: ResNet18 | epoch:10/100 | tol_epoch:10 | loss:0.0090 | acc:100.0% | val_loss:0.2590 | val_acc:95.6746% | lr:0.009207 | time: 11s863ms
[2019-06-22 19:25:41,593][INFO]: ResNet18 | epoch:11/100 | tol_epoch:11 | loss:0.0075 | acc:100.0% | val_loss:0.2526 | val_acc:95.9127% | lr:0.009059 | time: 11s744ms
[2019-06-22 19:25:53,323][INFO]: ResNet18 | epoch:12/100 | tol_epoch:12 | loss:0.0049 | acc:100.0% | val_loss:0.2570 | val_acc:95.7540% | lr:0.008899 | time: 11s728ms
[2019-06-22 19:26:05,170][INFO]: ResNet18 | epoch:13/100 | tol_epoch:13 | loss:0.0039 | acc:100.0% | val_loss:0.2531 | val_acc:95.9127% | lr:0.008729 | time: 11s845ms
[2019-06-22 19:26:16,915][INFO]: ResNet18 | epoch:14/100 | tol_epoch:14 | loss:0.0035 | acc:100.0% | val_loss:0.2536 | val_acc:95.9127% | lr:0.008549 | time: 11s742ms
[2019-06-22 19:26:28,744][INFO]: ResNet18 | epoch:15/100 | tol_epoch:15 | loss:0.0032 | acc:100.0% | val_loss:0.2532 | val_acc:95.7540% | lr:0.008359 | time: 11s829ms
[2019-06-22 19:26:40,801][INFO]: ResNet18 | epoch:16/100 | tol_epoch:16 | loss:0.0027 | acc:100.0% | val_loss:0.2520 | val_acc:95.9524% | lr:0.008160 | time: 11s880ms
[2019-06-22 19:26:52,542][INFO]: ResNet18 | epoch:17/100 | tol_epoch:17 | loss:0.0025 | acc:100.0% | val_loss:0.2505 | val_acc:95.9921% | lr:0.007952 | time: 11s739ms
[2019-06-22 19:27:04,346][INFO]: ResNet18 | epoch:18/100 | tol_epoch:18 | loss:0.0025 | acc:100.0% | val_loss:0.2494 | val_acc:95.9921% | lr:0.007737 | time: 11s802ms
[2019-06-22 19:27:16,192][INFO]: ResNet18 | epoch:19/100 | tol_epoch:19 | loss:0.0023 | acc:100.0% | val_loss:0.2557 | val_acc:95.8333% | lr:0.007513 | time: 11s843ms
[2019-06-22 19:27:28,048][INFO]: ResNet18 | epoch:20/100 | tol_epoch:20 | loss:0.0022 | acc:100.0% | val_loss:0.2544 | val_acc:95.8730% | lr:0.007283 | time: 11s855ms
[2019-06-22 19:27:40,099][INFO]: ResNet18 | epoch:21/100 | tol_epoch:21 | loss:0.0020 | acc:100.0% | val_loss:0.2508 | val_acc:95.9921% | lr:0.007047 | time: 11s863ms
[2019-06-22 19:27:51,947][INFO]: ResNet18 | epoch:22/100 | tol_epoch:22 | loss:0.0020 | acc:100.0% | val_loss:0.2513 | val_acc:95.9524% | lr:0.006805 | time: 11s846ms
[2019-06-22 19:28:03,760][INFO]: ResNet18 | epoch:23/100 | tol_epoch:23 | loss:0.0018 | acc:100.0% | val_loss:0.2498 | val_acc:95.9127% | lr:0.006558 | time: 11s812ms
[2019-06-22 19:28:15,744][INFO]: ResNet18 | epoch:24/100 | tol_epoch:24 | loss:0.0019 | acc:100.0% | val_loss:0.2490 | val_acc:95.8730% | lr:0.006307 | time: 11s981ms
[2019-06-22 19:28:27,655][INFO]: ResNet18 | epoch:25/100 | tol_epoch:25 | loss:0.0017 | acc:100.0% | val_loss:0.2525 | val_acc:95.8730% | lr:0.006053 | time: 11s909ms
[2019-06-22 19:28:39,734][INFO]: ResNet18 | epoch:26/100 | tol_epoch:26 | loss:0.0019 | acc:100.0% | val_loss:0.2533 | val_acc:95.9127% | lr:0.005795 | time: 11s909ms
[2019-06-22 19:28:51,532][INFO]: ResNet18 | epoch:27/100 | tol_epoch:27 | loss:0.0016 | acc:100.0% | val_loss:0.2548 | val_acc:95.7540% | lr:0.005536 | time: 11s796ms
[2019-06-22 19:29:03,227][INFO]: ResNet18 | epoch:28/100 | tol_epoch:28 | loss:0.0015 | acc:100.0% | val_loss:0.2480 | val_acc:95.9524% | lr:0.005275 | time: 11s694ms
[2019-06-22 19:29:14,919][INFO]: ResNet18 | epoch:29/100 | tol_epoch:29 | loss:0.0015 | acc:100.0% | val_loss:0.2508 | val_acc:95.8730% | lr:0.005013 | time: 11s690ms
[2019-06-22 19:29:26,746][INFO]: ResNet18 | epoch:30/100 | tol_epoch:30 | loss:0.0015 | acc:100.0% | val_loss:0.2515 | val_acc:95.7937% | lr:0.004751 | time: 11s825ms
[2019-06-22 19:29:38,754][INFO]: ResNet18 | epoch:31/100 | tol_epoch:31 | loss:0.0015 | acc:100.0% | val_loss:0.2457 | val_acc:95.9921% | lr:0.004490 | time: 11s842ms
[2019-06-22 19:29:50,594][INFO]: ResNet18 | epoch:32/100 | tol_epoch:32 | loss:0.0014 | acc:100.0% | val_loss:0.2508 | val_acc:95.9524% | lr:0.004231 | time: 11s838ms
[2019-06-22 19:30:02,414][INFO]: ResNet18 | epoch:33/100 | tol_epoch:33 | loss:0.0015 | acc:100.0% | val_loss:0.2484 | val_acc:96.0317% | lr:0.003973 | time: 11s819ms
[2019-06-22 19:30:14,291][INFO]: ResNet18 | epoch:34/100 | tol_epoch:34 | loss:0.0014 | acc:100.0% | val_loss:0.2495 | val_acc:95.9127% | lr:0.003719 | time: 11s875ms
[2019-06-22 19:30:26,130][INFO]: ResNet18 | epoch:35/100 | tol_epoch:35 | loss:0.0013 | acc:100.0% | val_loss:0.2479 | val_acc:96.1111% | lr:0.003468 | time: 11s838ms
[2019-06-22 19:30:38,011][INFO]: ResNet18 | epoch:36/100 | tol_epoch:36 | loss:0.0013 | acc:100.0% | val_loss:0.2493 | val_acc:95.9524% | lr:0.003221 | time: 11s717ms
[2019-06-22 19:30:49,832][INFO]: ResNet18 | epoch:37/100 | tol_epoch:37 | loss:0.0013 | acc:100.0% | val_loss:0.2463 | val_acc:96.0317% | lr:0.002979 | time: 11s820ms
[2019-06-22 19:31:01,645][INFO]: ResNet18 | epoch:38/100 | tol_epoch:38 | loss:0.0014 | acc:100.0% | val_loss:0.2460 | val_acc:95.9921% | lr:0.002743 | time: 11s811ms
[2019-06-22 19:31:13,448][INFO]: ResNet18 | epoch:39/100 | tol_epoch:39 | loss:0.0013 | acc:100.0% | val_loss:0.2477 | val_acc:96.0317% | lr:0.002513 | time: 11s801ms
[2019-06-22 19:31:25,342][INFO]: ResNet18 | epoch:40/100 | tol_epoch:40 | loss:0.0012 | acc:100.0% | val_loss:0.2500 | val_acc:96.0317% | lr:0.002289 | time: 11s892ms
[2019-06-22 19:31:37,396][INFO]: ResNet18 | epoch:41/100 | tol_epoch:41 | loss:0.0013 | acc:100.0% | val_loss:0.2481 | val_acc:96.0714% | lr:0.002074 | time: 11s893ms
